"age","marital","education","housing","loan","contact","month","duration","pdays","TermDeposit"
44,"divorced","secondary","no","yes","cellular","jul",275,-1,"no"
39,"married","primary","yes","no","unknown","may",35,-1,"no"
33,"married","secondary","yes","yes","unknown","may",29,-1,"no"
38,"married","unknown","yes","no","unknown","may",87,-1,"no"
49,"married","primary","no","no","telephone","aug",214,-1,"no"
46,"single","tertiary","no","no","cellular","aug",411,-1,"no"
34,"single","secondary","yes","no","unknown","may",194,-1,"no"
61,"married","tertiary","yes","no","cellular","apr",114,-1,"no"
36,"married","tertiary","no","no","cellular","aug",58,-1,"no"
38,"married","secondary","yes","no","cellular","jul",143,-1,"no"
50,"married","primary","no","no","unknown","jun",21,-1,"no"
28,"married","secondary","no","no","cellular","feb",220,-1,"no"
51,"single","tertiary","yes","no","unknown","nov",287,-1,"no"
33,"divorced","secondary","yes","yes","cellular","jan",263,239,"no"
42,"married","secondary","no","no","cellular","aug",113,-1,"no"
35,"divorced","tertiary","yes","no","cellular","aug",210,124,"no"
40,"single","secondary","no","no","cellular","nov",411,8,"no"
36,"married","secondary","no","no","unknown","jun",481,-1,"no"
41,"married","tertiary","yes","no","telephone","jul",80,-1,"no"
46,"married","secondary","yes","no","cellular","apr",427,337,"no"
25,"single","secondary","no","no","cellular","mar",141,180,"yes"
39,"married","secondary","yes","no","cellular","apr",939,-1,"yes"
31,"single","tertiary","yes","yes","cellular","jan",572,-1,"no"
28,"single","secondary","no","no","cellular","may",259,63,"no"
47,"married","unknown","no","no","cellular","aug",358,-1,"yes"
36,"married","secondary","yes","yes","cellular","may",132,-1,"no"
29,"single","tertiary","yes","yes","cellular","jan",499,248,"no"
32,"married","secondary","yes","no","unknown","may",923,-1,"yes"
32,"married","tertiary","yes","yes","cellular","nov",44,182,"no"
30,"married","secondary","yes","no","unknown","may",114,-1,"no"
55,"single","secondary","no","no","unknown","jun",14,-1,"no"
37,"married","secondary","yes","yes","cellular","may",151,351,"no"
31,"divorced","secondary","no","no","telephone","aug",9,-1,"no"
52,"married","secondary","no","no","unknown","jun",83,-1,"no"
54,"married","primary","yes","no","telephone","apr",40,-1,"no"
46,"married","secondary","no","no","cellular","nov",240,119,"no"
59,"married","secondary","yes","no","cellular","aug",1241,-1,"yes"
48,"divorced","primary","yes","no","unknown","may",832,-1,"yes"
43,"married","secondary","yes","no","cellular","jul",89,-1,"no"
44,"single","tertiary","yes","no","cellular","nov",54,-1,"no"
27,"single","tertiary","no","no","cellular","aug",171,91,"no"
53,"married","tertiary","no","no","cellular","feb",66,-1,"no"
30,"single","secondary","no","no","cellular","jul",358,-1,"no"
56,"married","tertiary","no","no","cellular","aug",148,-1,"no"
52,"divorced","tertiary","yes","yes","unknown","jun",741,-1,"yes"
41,"married","tertiary","yes","no","unknown","may",37,-1,"no"
30,"single","unknown","yes","no","cellular","apr",187,-1,"no"
37,"married","secondary","no","no","cellular","feb",276,167,"no"
47,"married","secondary","yes","no","cellular","apr",20,-1,"no"
36,"married","secondary","yes","no","cellular","may",86,-1,"no"
48,"married","secondary","no","yes","cellular","jul",302,-1,"no"
36,"single","tertiary","no","no","cellular","apr",567,595,"yes"
47,"married","secondary","yes","no","cellular","may",230,354,"no"
32,"single","tertiary","no","no","unknown","dec",10,-1,"no"
58,"married","secondary","yes","no","cellular","apr",286,-1,"no"
46,"married","primary","no","no","cellular","aug",322,-1,"no"
34,"married","primary","yes","no","unknown","may",192,-1,"no"
37,"single","secondary","no","yes","cellular","jul",661,-1,"yes"
36,"married","secondary","yes","no","telephone","jan",99,259,"no"
52,"married","secondary","yes","no","telephone","nov",102,188,"no"
37,"single","secondary","yes","no","cellular","feb",96,271,"no"
44,"married","primary","yes","no","unknown","may",113,-1,"no"
26,"single","tertiary","no","no","cellular","feb",136,-1,"no"
43,"divorced","secondary","no","no","cellular","nov",1468,-1,"yes"
31,"married","tertiary","no","no","cellular","apr",739,-1,"yes"
30,"married","tertiary","no","no","cellular","aug",137,-1,"no"
42,"married","secondary","no","no","cellular","aug",314,-1,"no"
66,"married","tertiary","no","no","cellular","jan",156,-1,"no"
36,"married","tertiary","no","no","cellular","jul",150,-1,"no"
38,"married","primary","no","no","cellular","jul",267,-1,"no"
40,"married","secondary","yes","yes","cellular","nov",173,-1,"no"
31,"married","secondary","yes","no","cellular","nov",391,-1,"no"
41,"married","secondary","yes","no","unknown","may",221,-1,"no"
54,"married","secondary","yes","no","cellular","may",65,342,"no"
44,"married","secondary","yes","yes","unknown","jun",271,-1,"no"
33,"divorced","secondary","no","no","cellular","feb",207,-1,"no"
