age,marital,education,housing,loan,contact,month,duration,pdays,TermDeposit,contacted_before
44,divorced,secondary,no,yes,cellular,jul,275,,no,0
39,married,primary,yes,no,unknown,may,35,,no,0
33,married,secondary,yes,yes,unknown,may,29,,no,0
38,married,unknown,yes,no,unknown,may,87,,no,0
49,married,primary,no,no,telephone,aug,214,,no,0
46,single,tertiary,no,no,cellular,aug,411,,no,0
34,single,secondary,yes,no,unknown,may,194,,no,0
61,married,tertiary,yes,no,cellular,apr,114,,no,0
36,married,tertiary,no,no,cellular,aug,58,,no,0
38,married,secondary,yes,no,cellular,jul,143,,no,0
50,married,primary,no,no,unknown,jun,21,,no,0
28,married,secondary,no,no,cellular,feb,220,,no,0
51,single,tertiary,yes,no,unknown,nov,287,,no,0
33,divorced,secondary,yes,yes,cellular,jan,263,239.0,no,1
42,married,secondary,no,no,cellular,aug,113,,no,0
35,divorced,tertiary,yes,no,cellular,aug,210,124.0,no,1
40,single,secondary,no,no,cellular,nov,411,8.0,no,1
36,married,secondary,no,no,unknown,jun,481,,no,0
41,married,tertiary,yes,no,telephone,jul,80,,no,0
46,married,secondary,yes,no,cellular,apr,427,337.0,no,1
25,single,secondary,no,no,cellular,mar,141,180.0,yes,1
39,married,secondary,yes,no,cellular,apr,939,,yes,0
31,single,tertiary,yes,yes,cellular,jan,572,,no,0
28,single,secondary,no,no,cellular,may,259,63.0,no,1
47,married,unknown,no,no,cellular,aug,358,,yes,0
36,married,secondary,yes,yes,cellular,may,132,,no,0
29,single,tertiary,yes,yes,cellular,jan,499,248.0,no,1
32,married,secondary,yes,no,unknown,may,923,,yes,0
32,married,tertiary,yes,yes,cellular,nov,44,182.0,no,1
30,married,secondary,yes,no,unknown,may,114,,no,0
55,single,secondary,no,no,unknown,jun,14,,no,0
37,married,secondary,yes,yes,cellular,may,151,351.0,no,1
31,divorced,secondary,no,no,telephone,aug,9,,no,0
52,married,secondary,no,no,unknown,jun,83,,no,0
54,married,primary,yes,no,telephone,apr,40,,no,0
46,married,secondary,no,no,cellular,nov,240,119.0,no,1
59,married,secondary,yes,no,cellular,aug,1241,,yes,0
48,divorced,primary,yes,no,unknown,may,832,,yes,0
43,married,secondary,yes,no,cellular,jul,89,,no,0
44,single,tertiary,yes,no,cellular,nov,54,,no,0
27,single,tertiary,no,no,cellular,aug,171,91.0,no,1
53,married,tertiary,no,no,cellular,feb,66,,no,0
30,single,secondary,no,no,cellular,jul,358,,no,0
56,married,tertiary,no,no,cellular,aug,148,,no,0
52,divorced,tertiary,yes,yes,unknown,jun,741,,yes,0
41,married,tertiary,yes,no,unknown,may,37,,no,0
30,single,unknown,yes,no,cellular,apr,187,,no,0
